day,energy_sum,Count,avg_energy
2012-04-25,20159.644000999982,1909,10.560316396542683
2012-04-26,19498.742000399994,1955,9.973781074373399
2012-04-27,19608.616998299978,2018,9.716856788057472
2012-04-28,21935.61200540001,2034,10.784470012487713
2012-04-29,23636.913999100023,2035,11.615191154348906
2012-04-30,19820.131999799996,2111,9.388977735575555
2012-05-01,20169.539002699978,2178,9.26057805449953
2012-05-02,20916.0880004,2240,9.337539285892857
2012-05-03,23100.715994199974,2294,10.070059282563196
2012-05-04,23479.877996299998,2338,10.042719416723694
2012-05-05,24226.805003999936,2357,10.27866143572335
2012-05-06,25184.47699779998,2358,10.680439778541128
2012-05-07,24927.861000099983,2359,10.567130563840603
2012-05-08,22819.55299889998,2462,9.268705523517458
2012-05-09,24055.99800330004,2524,9.53090253696515
2012-05-10,23913.865999799975,2586,9.247434648027832
2012-05-11,23363.765000799925,2665,8.766891182288903
2012-05-12,24689.22399949997,2685,9.19524171303537
2012-05-13,25610.09000089996,2685,9.538208566443188
2012-05-14,25584.313999399958,2772,9.22955050483404
2012-05-15,27084.436995799922,2852,9.496646912973326
2012-05-16,23650.22899819999,2909,8.130020281265036
2012-05-17,26518.115000599973,2995,8.854128547779624
2012-05-18,27627.509998799935,3081,8.967059395910397
2012-05-19,28093.407999800056,3105,9.047796457262498
2012-05-20,30549.85100099994,3106,9.835753702833207
2012-05-21,28390.50400210004,3199,8.874805877492978
2012-05-22,27247.743001100036,3285,8.294594520882812
2012-05-23,27144.192000500007,3351,8.10032587302298
2012-05-24,27343.230001499996,3406,8.027959483705224
2012-05-25,27791.553998099964,3462,8.027600808232226
2012-05-26,28469.903997299964,3473,8.197496112093281
2012-05-27,29588.19799710003,3474,8.51704029853196
2012-05-28,28778.400003300045,3518,8.180329733740775
2012-05-29,28854.20299919998,3571,8.080146457350876
2012-05-30,29065.634997000052,3615,8.04028630622408
2012-05-31,29869.034998700026,3668,8.14313931262269
2012-06-01,30545.771000000015,3717,8.217856066720477
2012-06-02,31850.913996,3741,8.514010691259022
2012-06-03,35083.69400209994,3740,9.380666845481267
2012-06-04,33344.71999979997,3741,8.913317294787483
2012-06-05,34830.42200339995,3741,9.310457632558126
2012-06-06,32216.22800229999,3790,8.500324011160947
2012-06-07,33895.67399160009,3839,8.829297731596792
2012-06-08,34457.21799849995,3881,8.878438031048686
2012-06-09,33731.709002600015,3908,8.631450614790177
2012-06-10,35901.93500150004,3907,9.189131047222943
2012-06-11,37600.286005899914,3946,9.528709073973623
2012-06-12,36789.94100049999,3986,9.229789513421974
2012-06-13,28213.566996599977,3998,7.0569202092546215
2012-06-14,31846.50199600001,3875,8.218452128000003
2012-06-15,28435.215996000035,3908,7.276155577277389
2012-06-16,29075.5719987,3698,7.862512709221201
2012-06-17,36644.49600479986,4084,8.972697356709075
2012-06-18,34511.50899929997,4114,8.388796548201256
